	subject	activity	measure	value
37	7	SITTING	tBodyAcc-mean()-X	0.284674637
38	8	SITTING	tBodyAcc-mean()-X	0.267491473
39	9	SITTING	tBodyAcc-mean()-X	0.248326744
40	10	SITTING	tBodyAcc-mean()-X	0.270612056
41	11	SITTING	tBodyAcc-mean()-X	0.276590197
42	12	SITTING	tBodyAcc-mean()-X	0.275007225
43	13	SITTING	tBodyAcc-mean()-X	0.2743285
44	14	SITTING	tBodyAcc-mean()-X	0.279990577
45	15	SITTING	tBodyAcc-mean()-X	0.27290338
46	16	SITTING	tBodyAcc-mean()-X	0.280768574
47	17	SITTING	tBodyAcc-mean()-X	0.27735702
48	18	SITTING	tBodyAcc-mean()-X	0.277270019
49	19	SITTING	tBodyAcc-mean()-X	0.273830316
50	20	SITTING	tBodyAcc-mean()-X	0.278045439
51	21	SITTING	tBodyAcc-mean()-X	0.277539617
52	22	SITTING	tBodyAcc-mean()-X	0.273583823
53	23	SITTING	tBodyAcc-mean()-X	0.273351252
54	24	SITTING	tBodyAcc-mean()-X	0.27347569
55	25	SITTING	tBodyAcc-mean()-X	0.278541482
56	26	SITTING	tBodyAcc-mean()-X	0.25824353
57	27	SITTING	tBodyAcc-mean()-X	0.273941303
58	28	SITTING	tBodyAcc-mean()-X	0.276977629
59	29	SITTING	tBodyAcc-mean()-X	0.277179978
60	30	SITTING	tBodyAcc-mean()-X	0.268336081
61	1	STANDING	tBodyAcc-mean()-X	0.278917629
62	2	STANDING	tBodyAcc-mean()-X	0.277911472
63	3	STANDING	tBodyAcc-mean()-X	0.280046513
64	4	STANDING	tBodyAcc-mean()-X	0.280499746
65	5	STANDING	tBodyAcc-mean()-X	0.282544391
66	6	STANDING	tBodyAcc-mean()-X	0.280346249
67	7	STANDING	tBodyAcc-mean()-X	0.282723539
68	8	STANDING	tBodyAcc-mean()-X	0.279620986
69	9	STANDING	tBodyAcc-mean()-X	0.282310057
70	10	STANDING	tBodyAcc-mean()-X	0.276650301
71	11	STANDING	tBodyAcc-mean()-X	0.277715563
72	12	STANDING	tBodyAcc-mean()-X	0.277405835
73	13	STANDING	tBodyAcc-mean()-X	0.277758431
74	14	STANDING	tBodyAcc-mean()-X	0.280545614
75	15	STANDING	tBodyAcc-mean()-X	0.278915804
76	16	STANDING	tBodyAcc-mean()-X	0.283497403
77	17	STANDING	tBodyAcc-mean()-X	0.277942503
78	18	STANDING	tBodyAcc-mean()-X	0.278458806
79	19	STANDING	tBodyAcc-mean()-X	0.27817226
80	20	STANDING	tBodyAcc-mean()-X	0.278076905
81	21	STANDING	tBodyAcc-mean()-X	0.276952243
82	22	STANDING	tBodyAcc-mean()-X	0.279053862
83	23	STANDING	tBodyAcc-mean()-X	0.277899323
84	24	STANDING	tBodyAcc-mean()-X	0.280348884
85	25	STANDING	tBodyAcc-mean()-X	0.278013702
86	26	STANDING	tBodyAcc-mean()-X	0.281127035
87	27	STANDING	tBodyAcc-mean()-X	0.279566922
88	28	STANDING	tBodyAcc-mean()-X	0.277795069
89	29	STANDING	tBodyAcc-mean()-X	0.277965066
90	30	STANDING	tBodyAcc-mean()-X	0.277112699
91	1	WALKING	tBodyAcc-mean()-X	0.277330759
92	2	WALKING	tBodyAcc-mean()-X	0.276426586
93	3	WALKING	tBodyAcc-mean()-X	0.275567462
94	4	WALKING	tBodyAcc-mean()-X	0.278582015
95	5	WALKING	tBodyAcc-mean()-X	0.277842346
96	6	WALKING	tBodyAcc-mean()-X	0.283658868
97	7	WALKING	tBodyAcc-mean()-X	0.275592962
98	8	WALKING	tBodyAcc-mean()-X	0.27468631
99	9	WALKING	tBodyAcc-mean()-X	0.278502842
100	10	WALKING	tBodyAcc-mean()-X	0.278574077
101	11	WALKING	tBodyAcc-mean()-X	0.271821893
102	12	WALKING	tBodyAcc-mean()-X	0.277128666
103	13	WALKING	tBodyAcc-mean()-X	0.27588313
104	14	WALKING	tBodyAcc-mean()-X	0.271959599
105	15	WALKING	tBodyAcc-mean()-X	0.273899208
106	16	WALKING	tBodyAcc-mean()-X	0.276023565
107	17	WALKING	tBodyAcc-mean()-X	0.272341855
108	18	WALKING	tBodyAcc-mean()-X	0.273887759
109	19	WALKING	tBodyAcc-mean()-X	0.273931172
110	20	WALKING	tBodyAcc-mean()-X	0.272589336
111	21	WALKING	tBodyAcc-mean()-X	0.279183527
112	22	WALKING	tBodyAcc-mean()-X	0.27886459
113	23	WALKING	tBodyAcc-mean()-X	0.273211884
114	24	WALKING	tBodyAcc-mean()-X	0.276980816
115	25	WALKING	tBodyAcc-mean()-X	0.278992759
116	26	WALKING	tBodyAcc-mean()-X	0.279264444
117	27	WALKING	tBodyAcc-mean()-X	0.276849485
118	28	WALKING	tBodyAcc-mean()-X	0.281228224
119	29	WALKING	tBodyAcc-mean()-X	0.271999917
120	30	WALKING	tBodyAcc-mean()-X	0.276406758
121	1	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.28918832
122	2	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.277615348
123	3	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.292423485
124	4	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.27996533
125	5	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.293543927
126	6	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.277045258
127	7	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.28030708
128	8	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.283484089
129	9	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.295923445
130	10	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.290401594
131	11	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.291605632
132	12	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.281521097
133	13	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.294907553
134	14	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.293422116
135	15	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.280198851
136	16	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.295586802
137	17	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.293918283
138	18	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.288439469
139	19	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.262688054
140	20	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.296144421
141	21	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.30146102
142	22	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.284458964
143	23	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.289897411
144	24	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.288631209
145	25	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.291329666
146	26	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.279284583
147	27	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.297544188
148	28	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.293642077
149	29	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.293140441
150	30	WALKING_DOWNSTAIRS	tBodyAcc-mean()-X	0.283190647
151	1	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.25546169
152	2	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.24716479
153	3	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.260819873
154	4	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.270876697
155	5	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.26845947
156	6	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.268229355
157	7	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.248706923
158	8	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.258880152
159	9	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.262436476
160	10	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.267121853
161	11	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.263775859
162	12	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.272970339
163	13	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.25820394
164	14	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.262421066
165	15	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.270187596
166	16	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.255986103
167	17	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.252604769
168	18	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.265401202
169	19	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.242118809
170	20	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.252098317
171	21	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.265194545
172	22	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.248391535
173	23	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.249995171
174	24	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.269881107
175	25	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.277995411
176	26	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.272691395
177	27	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.265770254
178	28	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.262005842
179	29	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.265423067
180	30	WALKING_UPSTAIRS	tBodyAcc-mean()-X	0.271415642
181	1	LAYING	tBodyAcc-mean()-Y	-0.040513953
182	2	LAYING	tBodyAcc-mean()-Y	-0.01815874
183	3	LAYING	tBodyAcc-mean()-Y	-0.018955679
184	4	LAYING	tBodyAcc-mean()-Y	-0.015003184
185	5	LAYING	tBodyAcc-mean()-Y	-0.018304212
186	6	LAYING	tBodyAcc-mean()-Y	-0.010252917
187	7	LAYING	tBodyAcc-mean()-Y	-0.020441152
188	8	LAYING	tBodyAcc-mean()-Y	-0.021228173
189	9	LAYING	tBodyAcc-mean()-Y	-0.020526822
190	10	LAYING	tBodyAcc-mean()-Y	-0.024294484
191	11	LAYING	tBodyAcc-mean()-Y	-0.017659805
192	12	LAYING	tBodyAcc-mean()-Y	-0.017520392
193	13	LAYING	tBodyAcc-mean()-Y	-0.020440454
194	14	LAYING	tBodyAcc-mean()-Y	-0.011342465
195	15	LAYING	tBodyAcc-mean()-Y	-0.016629654
196	16	LAYING	tBodyAcc-mean()-Y	-0.016610351
197	17	LAYING	tBodyAcc-mean()-Y	-0.016846201
198	18	LAYING	tBodyAcc-mean()-Y	-0.017393768
199	19	LAYING	tBodyAcc-mean()-Y	-0.017142686
200	20	LAYING	tBodyAcc-mean()-Y	-0.014440628
201	21	LAYING	tBodyAcc-mean()-Y	-0.018423305
202	22	LAYING	tBodyAcc-mean()-Y	-0.014262986
203	23	LAYING	tBodyAcc-mean()-Y	-0.021655384
204	24	LAYING	tBodyAcc-mean()-Y	-0.017355521
205	25	LAYING	tBodyAcc-mean()-Y	-0.018894366
206	26	LAYING	tBodyAcc-mean()-Y	-0.019189573
207	27	LAYING	tBodyAcc-mean()-Y	-0.017986761
208	28	LAYING	tBodyAcc-mean()-Y	-0.016753786
209	29	LAYING	tBodyAcc-mean()-Y	-0.017196548
210	30	LAYING	tBodyAcc-mean()-Y	-0.01944941
211	1	SITTING	tBodyAcc-mean()-Y	-0.001308288
212	2	SITTING	tBodyAcc-mean()-Y	-0.015687994
213	3	SITTING	tBodyAcc-mean()-Y	-0.003502998
214	4	SITTING	tBodyAcc-mean()-Y	-0.007163065
215	5	SITTING	tBodyAcc-mean()-Y	-0.009900835
216	6	SITTING	tBodyAcc-mean()-Y	-0.014591162
217	7	SITTING	tBodyAcc-mean()-Y	-0.014610976
218	8	SITTING	tBodyAcc-mean()-Y	-0.006725506
219	9	SITTING	tBodyAcc-mean()-Y	-0.027016777
220	10	SITTING	tBodyAcc-mean()-Y	-0.015042682
221	11	SITTING	tBodyAcc-mean()-Y	-0.014919562
222	12	SITTING	tBodyAcc-mean()-Y	-0.015789299
223	13	SITTING	tBodyAcc-mean()-Y	-0.005877329
224	14	SITTING	tBodyAcc-mean()-Y	-0.008705655
225	15	SITTING	tBodyAcc-mean()-Y	-0.011718847
226	16	SITTING	tBodyAcc-mean()-Y	-0.010249794
227	17	SITTING	tBodyAcc-mean()-Y	-0.014156274
228	18	SITTING	tBodyAcc-mean()-Y	-0.012869128
229	19	SITTING	tBodyAcc-mean()-Y	-0.01673926
230	20	SITTING	tBodyAcc-mean()-Y	-0.014722931
231	21	SITTING	tBodyAcc-mean()-Y	-0.014400971
232	22	SITTING	tBodyAcc-mean()-Y	-0.012346845
233	23	SITTING	tBodyAcc-mean()-Y	-0.013394502
234	24	SITTING	tBodyAcc-mean()-Y	-0.01312551
235	25	SITTING	tBodyAcc-mean()-Y	-0.014769681
236	26	SITTING	tBodyAcc-mean()-Y	-0.007133645
237	27	SITTING	tBodyAcc-mean()-Y	-0.01552698
238	28	SITTING	tBodyAcc-mean()-Y	-0.018540444
239	29	SITTING	tBodyAcc-mean()-Y	-0.01663068
240	30	SITTING	tBodyAcc-mean()-Y	-0.008047313
241	1	STANDING	tBodyAcc-mean()-Y	-0.01613759
242	2	STANDING	tBodyAcc-mean()-Y	-0.018420827
243	3	STANDING	tBodyAcc-mean()-Y	-0.014337656
244	4	STANDING	tBodyAcc-mean()-Y	-0.009489111
245	5	STANDING	tBodyAcc-mean()-Y	-0.007004186
246	6	STANDING	tBodyAcc-mean()-Y	-0.018123633
247	7	STANDING	tBodyAcc-mean()-Y	-0.014574034
248	8	STANDING	tBodyAcc-mean()-Y	-0.014811307
249	9	STANDING	tBodyAcc-mean()-Y	-0.020045495
250	10	STANDING	tBodyAcc-mean()-Y	-0.01554186
251	11	STANDING	tBodyAcc-mean()-Y	-0.017199089
252	12	STANDING	tBodyAcc-mean()-Y	-0.016900254
253	13	STANDING	tBodyAcc-mean()-Y	-0.016789199
254	14	STANDING	tBodyAcc-mean()-Y	-0.015207813
255	15	STANDING	tBodyAcc-mean()-Y	-0.018351636
256	16	STANDING	tBodyAcc-mean()-Y	-0.016599967
257	17	STANDING	tBodyAcc-mean()-Y	-0.017412006
258	18	STANDING	tBodyAcc-mean()-Y	-0.016635352
259	19	STANDING	tBodyAcc-mean()-Y	-0.015424406
260	20	STANDING	tBodyAcc-mean()-Y	-0.018069505
261	21	STANDING	tBodyAcc-mean()-Y	-0.016708473
262	22	STANDING	tBodyAcc-mean()-Y	-0.015856321
263	23	STANDING	tBodyAcc-mean()-Y	-0.017747555
264	24	STANDING	tBodyAcc-mean()-Y	-0.014478534
265	25	STANDING	tBodyAcc-mean()-Y	-0.016356973
266	26	STANDING	tBodyAcc-mean()-Y	-0.016660831
267	27	STANDING	tBodyAcc-mean()-Y	-0.016593236
268	28	STANDING	tBodyAcc-mean()-Y	-0.017263512
269	29	STANDING	tBodyAcc-mean()-Y	-0.017260587
270	30	STANDING	tBodyAcc-mean()-Y	-0.017016389
271	1	WALKING	tBodyAcc-mean()-Y	-0.017383819
272	2	WALKING	tBodyAcc-mean()-Y	-0.01859492
273	3	WALKING	tBodyAcc-mean()-Y	-0.017176784
274	4	WALKING	tBodyAcc-mean()-Y	-0.014839948
275	5	WALKING	tBodyAcc-mean()-Y	-0.017285032
276	6	WALKING	tBodyAcc-mean()-Y	-0.016895419
277	7	WALKING	tBodyAcc-mean()-Y	-0.018653665
278	8	WALKING	tBodyAcc-mean()-Y	-0.018662887
279	9	WALKING	tBodyAcc-mean()-Y	-0.018089197
280	10	WALKING	tBodyAcc-mean()-Y	-0.017022351
281	11	WALKING	tBodyAcc-mean()-Y	-0.016647583
282	12	WALKING	tBodyAcc-mean()-Y	-0.015560928
283	13	WALKING	tBodyAcc-mean()-Y	-0.018566065
284	14	WALKING	tBodyAcc-mean()-Y	-0.021778538
285	15	WALKING	tBodyAcc-mean()-Y	-0.017080974
286	16	WALKING	tBodyAcc-mean()-Y	-0.020428693
287	17	WALKING	tBodyAcc-mean()-Y	-0.01848754
288	18	WALKING	tBodyAcc-mean()-Y	-0.017802363
289	19	WALKING	tBodyAcc-mean()-Y	-0.019177359
290	20	WALKING	tBodyAcc-mean()-Y	-0.021199992
291	21	WALKING	tBodyAcc-mean()-Y	-0.018161032
292	22	WALKING	tBodyAcc-mean()-Y	-0.016721361
293	23	WALKING	tBodyAcc-mean()-Y	-0.018361871
294	24	WALKING	tBodyAcc-mean()-Y	-0.02254464
295	25	WALKING	tBodyAcc-mean()-Y	-0.018647762
296	26	WALKING	tBodyAcc-mean()-Y	-0.015425959
297	27	WALKING	tBodyAcc-mean()-Y	-0.016647878
298	28	WALKING	tBodyAcc-mean()-Y	-0.015675972
299	29	WALKING	tBodyAcc-mean()-Y	-0.01629156
300	30	WALKING	tBodyAcc-mean()-Y	-0.017588039
301	1	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.009918505
302	2	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.022661416
303	3	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.019355408
304	4	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.009802009
305	5	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.008501075
306	6	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.01953684
307	7	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.016633237
308	8	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.021105867
309	9	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.020399427
310	10	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.020005077
311	11	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.017809772
312	12	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.018084267
313	13	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.014372384
314	14	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.020014141
315	15	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.005630478
316	16	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.018389858
317	17	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.01673594
318	18	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.016866692
319	19	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.014594228
320	20	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.009641208
321	21	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.017319539
322	22	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.019799937
323	23	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.016211146
324	24	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.014573035
325	25	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.021017052
326	26	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.01262581
327	27	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.013556447
328	28	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.022023047
329	29	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.014941215
330	30	WALKING_DOWNSTAIRS	tBodyAcc-mean()-Y	-0.01743839
331	1	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.023953149
332	2	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.021412113
333	3	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.032410941
334	4	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.03198043
335	5	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.032526976
336	6	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.027242539
337	7	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.027563901
338	8	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.028241514
339	9	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.01951011
340	10	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.014385492
341	11	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.030315782
342	12	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.02635749
343	13	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.027739225
344	14	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.020438818
345	15	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.028752386
346	16	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.014365495
347	17	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.022864561
348	18	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.022206068
349	19	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.030398662
350	20	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.028225805
351	21	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.02372187
352	22	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.026862256
353	23	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.032384403
354	24	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.025197943
355	25	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.026986352
356	26	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.02816338
357	27	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.020095332
358	28	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.027944394
359	29	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.029946531
360	30	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	-0.02533117
361	1	LAYING	tBodyAcc-mean()-Z	-0.113203554
362	2	LAYING	tBodyAcc-mean()-Z	-0.10724561
363	3	LAYING	tBodyAcc-mean()-Z	-0.101300478
364	4	LAYING	tBodyAcc-mean()-Z	-0.11068815
365	5	LAYING	tBodyAcc-mean()-Z	-0.107937604
366	6	LAYING	tBodyAcc-mean()-Z	-0.13311957
367	7	LAYING	tBodyAcc-mean()-Z	-0.101361037
368	8	LAYING	tBodyAcc-mean()-Z	-0.102245366
369	9	LAYING	tBodyAcc-mean()-Z	-0.107549721
370	10	LAYING	tBodyAcc-mean()-Z	-0.117168642
371	11	LAYING	tBodyAcc-mean()-Z	-0.108786578
372	12	LAYING	tBodyAcc-mean()-Z	-0.108160126
373	13	LAYING	tBodyAcc-mean()-Z	-0.104331865
374	14	LAYING	tBodyAcc-mean()-Z	-0.086833332
375	15	LAYING	tBodyAcc-mean()-Z	-0.11853024
376	16	LAYING	tBodyAcc-mean()-Z	-0.107310493
377	17	LAYING	tBodyAcc-mean()-Z	-0.10700628
378	18	LAYING	tBodyAcc-mean()-Z	-0.107698928
379	19	LAYING	tBodyAcc-mean()-Z	-0.108981462
380	20	LAYING	tBodyAcc-mean()-Z	-0.104274323
381	21	LAYING	tBodyAcc-mean()-Z	-0.103253832
382	22	LAYING	tBodyAcc-mean()-Z	-0.110800925
383	23	LAYING	tBodyAcc-mean()-Z	-0.104256776
384	24	LAYING	tBodyAcc-mean()-Z	-0.107236237
385	25	LAYING	tBodyAcc-mean()-Z	-0.10042883
386	26	LAYING	tBodyAcc-mean()-Z	-0.10500254
387	27	LAYING	tBodyAcc-mean()-Z	-0.107699733
388	28	LAYING	tBodyAcc-mean()-Z	-0.108344853
389	29	LAYING	tBodyAcc-mean()-Z	-0.109462068
390	30	LAYING	tBodyAcc-mean()-Z	-0.103658151
391	1	SITTING	tBodyAcc-mean()-Z	-0.104544182
392	2	SITTING	tBodyAcc-mean()-Z	-0.109218272
393	3	SITTING	tBodyAcc-mean()-Z	-0.09835792
394	4	SITTING	tBodyAcc-mean()-Z	-0.105874596
395	5	SITTING	tBodyAcc-mean()-Z	-0.1085403
396	6	SITTING	tBodyAcc-mean()-Z	-0.110127729
397	7	SITTING	tBodyAcc-mean()-Z	-0.122464598
398	8	SITTING	tBodyAcc-mean()-Z	-0.104461049
399	9	SITTING	tBodyAcc-mean()-Z	-0.075378469
400	10	SITTING	tBodyAcc-mean()-Z	-0.104253239
401	11	SITTING	tBodyAcc-mean()-Z	-0.112840218
402	12	SITTING	tBodyAcc-mean()-Z	-0.106307229
403	13	SITTING	tBodyAcc-mean()-Z	-0.097246511
404	14	SITTING	tBodyAcc-mean()-Z	-0.10040149
405	15	SITTING	tBodyAcc-mean()-Z	-0.113661253
406	16	SITTING	tBodyAcc-mean()-Z	-0.089140404
407	17	SITTING	tBodyAcc-mean()-Z	-0.113624085
408	18	SITTING	tBodyAcc-mean()-Z	-0.111904776
409	19	SITTING	tBodyAcc-mean()-Z	-0.108707654
410	20	SITTING	tBodyAcc-mean()-Z	-0.108369635
411	21	SITTING	tBodyAcc-mean()-Z	-0.112057888
412	22	SITTING	tBodyAcc-mean()-Z	-0.10582737
413	23	SITTING	tBodyAcc-mean()-Z	-0.103808679
414	24	SITTING	tBodyAcc-mean()-Z	-0.103041061
415	25	SITTING	tBodyAcc-mean()-Z	-0.10916044
416	26	SITTING	tBodyAcc-mean()-Z	-0.097444869
417	27	SITTING	tBodyAcc-mean()-Z	-0.105521913
418	28	SITTING	tBodyAcc-mean()-Z	-0.11151794
419	29	SITTING	tBodyAcc-mean()-Z	-0.110411819
420	30	SITTING	tBodyAcc-mean()-Z	-0.099515446
421	1	STANDING	tBodyAcc-mean()-Z	-0.110601818
422	2	STANDING	tBodyAcc-mean()-Z	-0.105908536
423	3	STANDING	tBodyAcc-mean()-Z	-0.101621723
